,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
0,Busselton,AU,1562543766,-33.64,115.35,53.01,53,79,14.67
1,Lavrentiya,RU,1562543818,65.58,-170.99,76.67,9,29,4.29
2,Saskylakh,RU,1562543819,71.97,114.09,55.34,96,67,6.15
3,Altagracia de Orituco,VE,1562543547,9.86,-66.38,69.38,78,99,2.44
4,Yellowknife,CA,1562543821,62.45,-114.38,50.0,90,87,17.22
5,Jamestown,AU,1562543727,-33.21,138.6,49.86,17,82,4.23
6,Kualakapuas,ID,1562543824,-3.01,114.39,73.57,97,85,3.98
7,Lebu,ET,1562543741,8.96,38.73,59.0,75,82,4.7
8,Bluff,AU,1562543826,-23.58,149.07,61.44,100,82,12.5
9,Kupang,ID,1562543828,-10.16,123.6,77.0,20,69,8.05
10,Albany,US,1562543829,42.65,-73.75,78.8,1,60,3.36
11,Mataura,NZ,1562543830,-46.19,168.86,43.0,100,85,14.0
12,Saint Stephen,US,1562543831,45.7,-94.27,84.2,1,42,4.7
13,Bredasdorp,ZA,1562543833,-34.53,20.04,61.0,31,71,10.29
14,Bernalda,IT,1562543834,40.41,16.69,82.99,5,47,9.17
15,Puerto Ayora,EC,1562543836,-0.74,-90.35,80.6,75,61,9.17
16,Butaritari,KI,1562543837,3.07,172.79,80.73,100,83,15.75
17,Arraial do Cabo,BR,1562543838,-22.97,-42.02,64.4,40,72,12.75
18,Lagoa,PT,1562543839,37.14,-8.45,66.99,0,77,9.17
19,Georgetown,GY,1562543838,6.8,-58.16,82.4,40,78,6.93
20,Codrington,AU,1562543842,-28.95,153.24,60.8,75,82,4.7
21,Faanui,PF,1562543843,-16.48,-151.75,79.06,81,84,14.56
22,East London,ZA,1562543820,-33.02,27.91,49.67,0,78,8.1
23,Honningsvag,NO,1562543846,70.98,25.97,47.74,100,74,3.96
24,Ushuaia,AR,1562543847,-54.81,-68.31,37.4,0,92,6.17
25,Torbay,CA,1562543563,47.66,-52.73,64.4,5,72,10.29
26,Rikitea,PF,1562543766,-23.12,-134.97,71.9,100,82,39.19
27,Radovitskiy,RU,1562543850,55.13,39.8,51.01,20,83,1.99
28,Turbat,PK,1562543852,26.0,63.05,79.13,34,85,2.64
29,Tuktoyaktuk,CA,1562543853,69.44,-133.03,44.6,75,81,9.17
30,Kysyl-Syr,RU,1562543854,63.9,122.77,71.66,21,72,5.48
31,Atuona,PF,1562543856,-9.8,-139.03,80.19,80,74,13.94
32,Narsaq,GL,1562543857,60.91,-46.05,62.6,81,21,38.03
33,Ilam,IR,1562543858,33.64,46.42,73.4,0,25,2.24
34,Anloga,GH,1562543860,5.79,0.9,78.8,75,88,14.99
35,Houlton,US,1562543861,46.13,-67.84,73.4,1,38,9.17
36,Iqaluit,CA,1562543862,63.75,-68.52,44.6,90,93,8.05
37,Fairbanks,US,1562543752,64.84,-147.72,75.99,40,44,3.36
38,Kewanee,US,1562543742,41.25,-89.92,82.4,40,65,4.7
39,Nikolskoye,RU,1562543866,59.7,30.79,53.6,0,81,4.47
40,Hampton,US,1562543867,32.88,-81.13,90.0,1,66,4.7
41,Terrace,CA,1562543868,54.52,-128.61,78.8,75,50,11.41
42,Flinders,AU,1562543870,-34.58,150.85,61.0,0,62,6.93
43,Hermanus,ZA,1562543764,-34.42,19.24,61.0,39,72,8.99
44,Waingapu,ID,1562543872,-9.65,120.26,72.65,27,75,14.65
45,Moussoro,TD,1562543874,13.64,16.49,90.87,72,44,10.67
46,Neiafu,TO,1562543875,-18.65,-173.98,80.6,75,78,6.93
47,Kodiak,US,1562543876,39.95,-94.76,87.8,1,21,5.93
48,New Norfolk,AU,1562543877,-42.78,147.06,48.99,75,87,8.05
49,Puerto Narino,CO,1562543879,-3.77,-70.38,69.8,90,88,2.24
50,Jumla,NP,1562543880,29.28,82.18,53.18,60,95,2.93
51,Tongzi,CN,1562543881,28.78,105.09,68.01,100,97,8.57
52,Yatou,CM,1562543883,3.63,9.81,77.28,100,85,19.48
53,Broken Hill,AU,1562543884,-31.97,141.45,48.2,14,87,9.17
54,Hualmay,PE,1562543885,-11.1,-77.61,63.17,0,87,9.86
55,Tasiilaq,GL,1562543886,65.61,-37.64,51.8,1,50,4.7
56,Castro,CL,1562543888,-42.48,-73.76,50.0,90,93,21.92
57,Yabelo,ET,1562543889,4.89,38.09,60.61,81,83,7.58
58,Tiksi,RU,1562543890,71.64,128.87,46.43,97,72,8.43
59,Lompoc,US,1562543892,34.64,-120.46,71.01,90,82,12.75
60,Wuan,CN,1562543893,31.68,112.0,77.08,100,57,5.75
61,Zhangye,CN,1562543738,38.94,100.46,57.28,80,56,0.47
62,Valkeala,FI,1562543896,60.94,26.8,55.4,90,100,4.7
63,Ahipara,NZ,1562543897,-35.17,173.16,56.94,59,68,18.88
64,Barra da Estiva,BR,1562543898,-13.63,-41.33,63.58,44,92,7.31
65,Mahanoro,MG,1562543899,-19.9,48.8,63.53,1,98,1.72
66,Carnot,CF,1562543901,4.94,15.87,69.29,100,92,3.06
67,Dingle,PH,1562543902,11.0,122.67,81.18,1,76,3.96
68,Sur,OM,1562543739,22.57,59.53,86.93,13,49,2.59
69,Ciudad Guayana,VE,1562543905,8.32,-62.69,78.01,100,89,8.52
70,Barrow,AR,1562543906,-38.31,-60.23,47.11,100,73,13.15
71,Deputatskiy,RU,1562543907,69.3,139.9,62.07,0,52,6.82
72,Mchinji,MW,1562543909,-13.8,32.89,53.95,0,53,1.36
73,San Jose,HN,1562543741,14.25,-87.96,77.0,20,69,10.29
74,Tapejara,BR,1562543911,-23.73,-52.87,45.54,0,65,5.26
75,Avarua,CK,1562543912,-21.21,-159.78,77.0,99,65,11.41
76,Kutum,SD,1562543914,14.2,24.66,76.88,100,52,6.04
77,Marzuq,YE,1562543915,14.4,46.47,83.02,92,33,11.03
78,Geraldton,CA,1562543664,49.72,-86.95,71.6,75,43,10.29
79,Saint-Jovite,CA,1562543681,46.12,-74.6,75.2,5,50,4.7
80,Umm Kaddadah,SD,1562543919,13.6,26.69,79.98,100,58,16.02
81,Cape Town,ZA,1562543884,-33.93,18.42,61.0,75,87,11.41
82,Talnakh,RU,1562543921,69.49,88.39,48.2,40,87,29.08
83,Carnarvon,ZA,1562543922,-30.97,22.13,42.63,32,80,7.78
84,Kaspiysk,RU,1562543924,42.88,47.64,69.01,1,77,4.47
85,Koygorodok,RU,1562543925,60.44,51.01,48.57,100,97,3.74
86,Ponta do Sol,BR,1562543926,-20.63,-46.0,50.22,0,63,4.0
87,Bambous Virieux,MU,1562543928,-20.34,57.76,69.01,75,94,2.24
88,Lata,IN,1562543929,30.78,78.62,41.08,32,88,2.1
89,Tual,ID,1562543930,-5.67,132.75,78.45,68,82,21.12
90,Maceio,BR,1562543931,-9.67,-35.74,77.0,75,78,4.7
91,Vaini,IN,1562543933,15.34,74.49,78.27,70,88,8.55
92,Mayumba,GA,1562543934,-3.44,10.65,72.74,74,88,6.87
93,Belmonte,PT,1562543760,40.36,-7.35,54.81,20,96,2.28
94,Loveland,US,1562543936,40.4,-105.08,89.6,1,29,6.93
95,Canton,US,1562543647,40.8,-81.38,77.0,75,73,9.17
96,Sao Jose da Coroa Grande,BR,1562543870,-8.9,-35.15,70.8,2,92,2.39
97,Longyearbyen,NO,1562543940,78.22,15.63,51.8,0,71,6.93
98,Lubao,CD,1562543941,-5.39,25.75,70.74,36,55,2.8
99,Rocha,UY,1562543943,-34.48,-54.34,40.11,53,80,3.71
100,Port Elizabeth,US,1562543944,39.31,-74.98,82.4,75,83,9.17
101,Itaqui,BR,1562543945,-29.13,-56.55,43.29,33,76,6.78
102,Salalah,OM,1562543946,17.01,54.1,84.2,75,83,2.24
103,Kieta,PG,1562543948,-6.22,155.63,80.95,100,78,4.68
104,Takaka,NZ,1562543949,-40.86,172.81,57.99,44,60,3.0
105,Quetta,PK,1562543950,30.19,67.02,68.53,0,17,4.54
106,Marsabit,KE,1562543952,2.34,37.99,77.78,72,60,16.98
107,Khatanga,RU,1562543953,71.98,102.47,48.87,100,76,16.2
108,Kruisfontein,ZA,1562543954,-34.0,24.73,49.38,14,84,9.6
109,Haines Junction,CA,1562543956,60.75,-137.51,69.16,100,38,5.73
110,Burnie,AU,1562543957,-41.05,145.91,48.99,98,95,1.01
111,Lerwick,GB,1562543958,60.15,-1.15,48.2,100,87,2.24
112,Punta Arenas,CL,1562543959,-53.16,-70.91,39.2,40,93,8.05
113,Sinnamary,GF,1562543961,5.38,-52.96,81.08,46,78,11.32
114,Vaitape,PF,1562543962,-16.52,-151.75,79.06,81,84,14.56
115,Kiama,AU,1562543963,-34.67,150.86,63.0,0,62,6.93
116,Yuyao,CN,1562543965,30.04,121.15,84.99,100,78,4.47
117,Kommunisticheskiy,RU,1562543966,61.68,64.48,47.36,98,93,4.54
118,Nanortalik,GL,1562543967,60.14,-45.24,48.8,82,58,11.16
119,Ratnagiri,IN,1562543968,16.98,73.3,82.14,51,84,19.33
120,Zhezkazgan,KZ,1562543970,47.8,67.71,71.52,51,33,10.69
121,Polczyn-Zdroj,PL,1562543971,53.76,16.1,60.01,66,87,10.74
122,Batagay,RU,1562543972,67.65,134.64,71.95,68,36,8.12
123,Nishihara,JP,1562543973,35.74,139.53,72.0,75,77,5.82
124,Caravelas,BR,1562543975,-17.73,-39.27,71.34,77,77,21.07
125,Uray,RU,1562543976,60.13,64.8,49.23,100,93,2.51
126,Pizarro,CO,1562543977,4.95,-77.37,81.15,96,82,13.29
127,Vila Velha,BR,1562543979,-3.71,-38.6,86.0,0,74,4.7
128,Saldanha,PT,1562543980,41.42,-6.55,64.08,42,78,3.31
129,Kjollefjord,NO,1562543981,70.95,27.35,47.97,100,71,7.27
130,Mastic Beach,US,1562543982,40.77,-72.85,77.0,1,68,3.36
131,Impfondo,CD,1562543984,1.62,18.06,70.15,100,97,2.86
132,Hasaki,JP,1562543985,35.73,140.83,68.0,75,93,14.99
133,Norman Wells,CA,1562543986,65.28,-126.83,59.0,75,54,10.29
134,Kapaa,US,1562543922,22.08,-159.32,84.2,40,66,13.87
135,Souillac,FR,1562543989,45.6,-0.6,68.0,0,88,4.7
136,Coahuayana,MX,1562543990,18.62,-100.35,85.81,20,65,2.35
137,Padalarang,ID,1562543991,-6.85,107.48,66.89,11,95,1.01
138,Esmeraldas,BR,1562543992,-19.76,-44.31,59.0,0,62,11.41
139,Luanda,AO,1562543994,-8.83,13.24,69.8,75,94,4.7
140,Hithadhoo,MV,1562543995,-0.6,73.08,83.69,0,77,12.5
141,Havoysund,NO,1562543996,71.0,24.66,51.8,0,57,11.41
142,Bara,NG,1562543998,10.41,10.6,76.74,67,84,3.53
143,Karratha,AU,1562543999,-20.74,116.85,68.3,0,49,5.64
144,Savannakhet,TH,1562544000,16.57,104.76,76.59,100,87,11.72
145,Hilo,US,1562543726,19.71,-155.08,87.01,1,58,11.41
146,Te Anau,NZ,1562544004,-45.41,167.72,40.31,68,66,4.5
147,Kondinskoye,RU,1562544006,59.65,67.41,52.67,96,90,6.06
148,Esperance,AU,1562544007,-33.86,121.89,42.8,0,87,8.05
149,Juxtlahuaca,MX,1562544008,17.43,-99.15,70.87,64,83,2.71
150,Kodinar,IN,1562544010,20.79,70.7,82.23,98,79,11.07
151,Shinuhayr,AM,1562544011,39.43,46.32,47.97,14,94,3.69
152,Shache,CN,1562544012,38.42,77.24,82.99,97,77,4.5
153,Buraydah,SA,1562544014,26.33,43.97,89.6,20,24,4.7
154,Manali,IN,1562544015,32.25,77.19,40.45,35,82,3.09
155,Liverpool,GB,1562543863,53.41,-2.98,55.99,40,66,3.36
156,Willowmore,ZA,1562544017,-33.3,23.49,40.25,69,93,0.76
157,Dikson,RU,1562544019,73.51,80.55,32.8,23,93,17.63
158,Monrovia,LR,1562544020,6.33,-10.8,77.0,75,94,10.89
159,Mount Gambier,AU,1562544021,-37.83,140.78,44.6,0,100,9.17
160,Kloulklubed,PW,1562544022,7.04,134.26,78.8,75,94,3.36
161,Mackay,CA,1562544024,53.65,-115.58,57.2,90,82,5.82
162,San Patricio,PY,1562544025,-26.98,-56.83,43.13,5,77,3.44
163,Yining,CN,1562544026,29.04,114.56,70.04,100,98,2.55
164,Hobart,AU,1562544019,-42.88,147.33,48.99,75,87,8.05
165,Chuy,UY,1562544029,-33.69,-53.46,43.47,36,73,5.26
166,Hambantota,LK,1562544030,6.12,81.12,82.86,17,81,16.98
167,Pevek,RU,1562544031,69.7,170.27,46.37,99,73,16.6
168,Pimentel,BR,1562544033,-3.7,-45.5,72.78,66,98,2.24
169,Chokurdakh,RU,1562544034,70.62,147.9,53.3,96,70,10.16
170,Severo-Kurilsk,RU,1562544035,50.68,156.12,42.23,100,98,3.8
171,Nome,US,1562544036,30.04,-94.42,93.0,1,74,5.82
172,Alofi,NU,1562544038,-19.06,-169.92,80.6,32,57,12.75
173,Arlit,NE,1562544039,18.74,7.39,92.34,0,7,10.2
174,Koutiala,ML,1562544040,12.39,-5.46,85.13,61,55,8.52
175,Muros,ES,1562544041,42.77,-9.06,66.0,75,93,6.93
176,Rawson,AR,1562544043,-43.3,-65.11,47.31,87,65,10.85
177,Nagpur,IN,1562543820,21.15,79.08,78.8,75,94,5.82
178,Pangoa,PE,1562544045,-12.12,-73.0,63.94,0,81,1.83
179,Portel,BR,1562544046,-1.94,-50.82,73.57,83,97,1.95
180,Cidreira,BR,1562544048,-30.17,-50.22,43.78,15,89,1.54
181,Zyryanka,RU,1562544049,65.73,150.89,69.43,95,46,14.16
182,Sorong,ID,1562544050,-0.86,131.25,77.62,73,89,7.02
183,Saint George,GR,1562544051,39.45,22.34,75.2,0,60,3.24
184,Prince Rupert,CA,1562544053,54.32,-130.32,62.6,75,77,9.17
185,Hofn,IS,1562544054,64.25,-15.21,37.08,100,94,5.44
186,Kyren,RU,1562544055,51.68,102.13,58.4,17,46,4.25
187,Goderich,CA,1562544057,43.74,-81.71,73.0,5,70,17.02
188,Arrifes,PT,1562544059,37.77,-25.7,68.0,75,94,4.7
189,North Platte,US,1562544054,41.12,-100.77,82.99,75,58,11.41
190,Robertsport,LR,1562544061,6.75,-11.37,76.67,100,88,9.48
191,Cabo San Lucas,MX,1562543852,22.89,-109.91,97.0,90,35,10.29
192,Port Alfred,ZA,1562544034,-33.59,26.89,57.0,0,77,4.0
193,Banda Aceh,ID,1562544065,5.56,95.32,83.65,92,68,7.52
194,Fidenza,IT,1562544066,44.86,10.07,73.4,0,69,4.7
195,Moroni,GR,1562544067,35.09,24.92,75.0,0,60,6.93
196,Dejen,ET,1562544068,10.16,38.15,63.22,27,81,1.77
197,Punta Cardon,VE,1562544070,11.61,-70.22,79.49,89,81,32.53
198,Gizo,IL,1562544071,31.8,34.94,78.8,40,78,8.05
199,Namatanai,PG,1562544072,-3.66,152.44,80.09,83,80,17.09
200,Vao,EE,1562544074,59.1,26.19,50.22,29,91,4.14
201,Kawalu,ID,1562544075,-7.38,108.21,67.88,83,95,3.47
202,Victoria,BN,1562543892,5.28,115.24,80.6,75,94,3.36
203,Weihe,CN,1562544078,32.99,105.33,56.92,100,96,1.19
204,Coolum Beach,AU,1562544079,-26.53,153.09,64.99,7,80,1.99
205,Mahebourg,MU,1562544080,-20.41,57.7,69.01,75,94,2.24
206,Luderitz,NA,1562544081,-26.65,15.16,66.2,0,59,17.22
207,Nokaneng,BW,1562544083,-19.66,22.19,53.82,0,16,2.91
208,Sitka,US,1562544084,37.17,-99.65,84.0,51,65,1.99
209,Touros,BR,1562543943,-5.2,-35.46,77.0,40,88,5.82
210,Bucosnita,RO,1562544087,45.3,22.27,61.46,94,98,4.09
211,Makakilo City,US,1562544088,21.35,-158.09,89.6,75,61,12.75
212,Xai-Xai,MZ,1562544089,-25.04,33.64,69.3,24,73,10.65
213,Kavieng,PG,1562544091,-2.57,150.8,83.38,0,71,4.38
214,Kanchanaburi,TH,1562544092,14.03,99.53,76.31,100,88,2.48
215,Charters Towers,AU,1562544093,-20.07,146.27,67.16,100,85,11.88
216,Alta Floresta,BR,1562544094,-9.87,-56.08,73.05,0,53,2.51
217,Kavaratti,IN,1562544096,10.57,72.64,84.39,52,78,19.28
218,Vila Franca do Campo,PT,1562544097,37.72,-25.43,68.0,75,94,4.7
219,Mehamn,NO,1562544098,71.03,27.85,46.16,100,73,6.33
220,Sakaiminato,JP,1562544099,35.55,133.23,71.6,75,78,1.12
221,Krasnoslobodsk,RU,1562544101,54.42,43.79,55.07,69,88,4.7
222,Zhanaozen,KZ,1562544102,43.35,52.85,77.08,0,38,16.06
223,Ostrovnoy,RU,1562544103,68.05,39.51,39.46,53,91,19.15
224,Whitianga,NZ,1562544105,-36.83,175.7,57.0,82,85,7.0
225,Hobyo,SO,1562544106,5.35,48.53,78.09,41,72,19.62
226,Ribeira Grande,PT,1562544107,38.52,-28.7,71.93,82,83,19.82
227,Manta,RO,1562544108,45.1,24.1,62.32,81,90,4.0
228,San Estanislao,PY,1562544110,-24.67,-56.44,47.29,8,71,3.89
229,Presque Isle,US,1562544111,46.68,-68.02,73.4,1,37,9.17
230,Carmen,PH,1562544112,7.36,125.71,82.99,20,88,2.24
231,Cabrero,CL,1562544113,-37.04,-72.4,55.4,87,87,1.12
232,Thompson,CA,1562544115,55.74,-97.86,78.8,90,34,5.82
233,Price,US,1562543879,39.6,-110.81,80.01,1,24,14.99
234,Tecalitlan,MX,1562544117,19.47,-103.3,86.0,40,62,2.08
235,Leningradskiy,RU,1562544119,69.38,178.42,55.26,66,62,10.96
236,Campbell River,CA,1562544120,50.02,-125.24,66.2,75,72,10.29
237,Bam,IR,1562544121,29.11,58.36,64.03,0,21,2.62
238,Kaitangata,NZ,1562544122,-46.28,169.85,44.01,100,55,17.0
239,Pitimbu,BR,1562544124,-7.47,-34.81,75.2,40,94,4.7
240,Bloomfield,US,1562544125,40.75,-92.42,84.2,40,65,6.93
241,Orcopampa,PE,1562544126,-15.27,-72.34,36.36,88,61,6.38
242,Neftcala,AZ,1562543945,39.37,49.25,72.8,0,49,3.38
243,Seoul,KR,1562544129,37.57,126.98,75.2,75,64,3.36
244,Port-Gentil,GA,1562544130,-0.72,8.78,73.4,90,94,9.17
245,Udachnyy,RU,1562544131,66.42,112.4,59.0,75,93,4.47
246,Alihe,CN,1562544133,50.57,123.73,72.27,91,57,3.13
247,Abu Dhabi,AE,1562544103,24.47,54.37,89.6,0,66,4.7
248,Senanga,ZM,1562544136,-16.1,23.3,52.78,0,22,3.58
249,Menongue,AO,1562544137,-14.66,17.68,48.28,0,35,3.44
250,Sokoto,NG,1562544031,13.06,5.24,89.07,13,50,17.16
251,Baglung,NP,1562544139,28.27,83.59,58.07,100,95,1.52
252,Rock Springs,US,1562544026,41.59,-109.2,78.8,1,16,23.73
253,Rauma,FI,1562544009,61.13,21.5,55.4,97,87,6.93
254,Bethel,US,1562544143,60.79,-161.76,86.0,90,45,12.75
255,Graaff-Reinet,ZA,1562544144,-32.25,24.53,48.86,67,64,4.59
256,Lethem,GY,1562544146,3.38,-59.8,80.82,57,68,5.32
257,Cockburn Town,TC,1562543940,21.46,-71.14,82.01,0,78,16.35
258,Kuusamo,FI,1562544017,65.96,29.19,44.6,0,75,4.7
259,Ngunguru,NZ,1562544014,-35.62,174.5,55.99,17,80,8.99
260,Nizhnedevitsk,RU,1562544150,51.55,38.36,59.0,90,93,2.24
261,Noyabrsk,RU,1562544152,63.2,75.45,56.36,100,91,9.69
262,Natal,BR,1562544153,-5.81,-35.21,78.8,75,78,6.93
263,Katsuura,JP,1562544154,33.93,134.5,78.01,75,83,2.24
264,Jerantut,MY,1562544155,3.94,102.37,72.62,55,95,0.85
265,Peniche,PT,1562544157,39.36,-9.38,64.4,20,82,8.05
266,Turtas,RU,1562544158,58.94,69.13,56.07,55,81,7.09
267,Sobolevo,RU,1562544159,54.43,31.9,48.05,0,94,5.64
268,Itapipoca,BR,1562544160,-3.5,-39.58,73.28,19,88,5.35
269,Yar-Sale,RU,1562544162,66.83,70.83,52.6,100,57,17.92
270,Dharchula,IN,1562544163,29.85,80.53,53.63,59,92,1.74
271,Steinbach,CA,1562544164,49.53,-96.69,84.2,40,30,13.87
272,Saint-Philippe,CA,1562544165,45.36,-73.48,75.99,1,36,7.94
273,Mozarlandia,BR,1562544167,-14.74,-50.57,63.76,0,39,5.77
274,Thinadhoo,MV,1562544168,0.53,72.93,83.52,11,75,12.75
275,Anori,BR,1562544169,-3.74,-61.66,73.97,97,96,2.24
276,Qaanaaq,GL,1562543954,77.48,-69.36,45.67,83,58,3.78
277,Wright,US,1562544172,43.75,-105.48,84.2,1,39,16.11
278,Fort Nelson,CA,1562544051,58.81,-122.69,64.4,75,55,2.24
279,Khani,GE,1562544174,41.96,42.96,69.8,75,94,5.82
280,Plerin,FR,1562544176,48.54,-2.78,62.6,40,88,8.05
281,Saint-Joseph,FR,1562544177,43.56,6.97,82.99,0,73,2.24
282,Rio Verde de Mato Grosso,BR,1562544178,-18.92,-54.84,54.45,0,45,7.92
283,Isangel,VU,1562544179,-19.55,169.27,75.2,75,78,6.93
284,Jeremie,HT,1562544181,18.65,-74.12,82.14,91,76,5.3
285,Diffa,NE,1562544102,13.32,12.61,92.38,28,36,13.69
286,Laguna,BZ,1562544145,16.17,-88.94,86.0,40,74,6.93
287,Zhigansk,RU,1562544083,66.77,123.37,55.08,100,96,11.65
288,Raymond,CA,1562544185,49.47,-112.67,71.01,75,55,9.17
289,Centralia,US,1562544187,46.72,-122.96,69.8,90,72,10.29
290,Svetlogorsk,RU,1562544188,53.14,59.15,51.8,15,81,6.71
291,Ulladulla,AU,1562544134,-35.36,150.48,62.01,0,62,6.93
292,Tsarychanka,UA,1562544190,48.94,34.49,64.28,96,96,5.53
293,Karasjok,NO,1562544192,69.47,25.52,50.0,67,61,19.46
294,Colac,AU,1562544019,-38.34,143.59,51.01,90,98,4.27
295,Kostyantynivka,UA,1562544194,48.53,37.71,62.57,62,65,8.7
