,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
296,Piranshahr,IR,1562544195,36.7,45.14,51.16,0,82,1.92
297,Walvis Bay,NA,1562544037,-22.95,14.51,60.8,0,82,2.24
298,Moose Factory,CA,1562544198,51.26,-80.61,78.8,1,34,10.29
299,Upernavik,GL,1562544096,72.79,-56.15,44.52,17,68,10.27
300,Borba,BR,1562544200,-4.39,-59.59,74.04,100,96,1.28
301,Halifax,CA,1562543970,44.65,-63.58,71.6,20,53,10.29
302,Coos Bay,US,1562544203,43.37,-124.22,69.01,1,72,23.04
303,Srandakan,ID,1562544119,-7.94,110.25,76.02,97,79,21.14
304,Copacel,RO,1562544205,46.98,22.17,66.2,88,88,2.24
305,Ust-Maya,RU,1562544206,60.42,134.54,61.71,96,71,4.7
306,Coihaique,CL,1562544208,-45.58,-72.07,41.0,90,93,5.82
307,Ust-Kuyga,RU,1562544209,70.0,135.55,70.73,24,35,6.15
308,Mutsu,JP,1562544210,41.29,141.2,71.01,75,72,11.41
309,Mar del Plata,AR,1562544211,-46.43,-67.52,41.48,100,79,6.2
310,Sape,NG,1562544213,8.9,7.51,71.6,40,83,4.7
311,Ojinaga,US,1562544214,29.56,-104.41,93.2,1,28,8.05
312,Airai,TL,1562544216,-8.93,125.41,75.48,43,64,0.98
313,Pisco,PE,1562544217,-13.71,-76.2,71.6,90,30,5.82
314,Sao Filipe,CV,1562544218,14.9,-24.5,72.96,44,80,13.87
315,Mitchell,US,1562544219,43.71,-98.03,84.2,20,51,14.99
316,Narang,PK,1562544221,32.43,73.82,86.0,40,74,4.7
317,Contai,IN,1562544035,21.78,87.75,83.85,100,72,11.86
318,Ursulo Galvan,MX,1562544223,20.6,-97.44,89.6,20,70,11.41
319,Vardo,US,1562544075,39.62,-77.74,84.2,40,66,3.36
320,Cayenne,GF,1562544226,4.94,-52.33,77.0,0,94,3.09
321,Yiyang,CN,1562544227,28.59,112.35,71.3,100,98,2.51
322,Kulhudhuffushi,MV,1562544228,6.62,73.07,83.43,34,79,12.95
323,Balkanabat,TM,1562544229,39.51,54.36,80.46,11,61,9.93
324,Provideniya,RU,1562544231,64.42,-173.23,64.4,0,55,6.71
325,Anqing,CN,1562544232,30.51,117.04,78.79,99,68,3.18
326,Le Vauclin,MQ,1562544233,14.55,-60.84,82.4,75,88,10.29
327,Mindyak,RU,1562544235,54.02,58.79,51.8,25,81,6.71
328,Rome,IT,1562544086,41.89,12.48,80.6,0,69,4.7
329,Sherlovaya Gora,RU,1562544237,50.53,116.31,59.69,21,77,4.25
330,Rybnaya Sloboda,RU,1562544238,55.46,50.14,50.0,0,87,4.47
331,Kropotkin,RU,1562544240,45.43,40.58,65.27,12,56,2.51
332,Harper,US,1562544202,30.3,-99.24,91.4,1,43,10.29
333,Puerto del Rosario,ES,1562544242,28.5,-13.86,71.6,20,78,16.11
334,Andrychow,PL,1562544243,49.85,19.34,60.01,75,62,5.82
335,Carutapera,BR,1562544244,-1.2,-46.02,77.31,86,85,5.61
336,Nizhneangarsk,RU,1562544246,55.78,109.57,60.61,100,55,3.38
337,Chara,GR,1562544247,39.42,22.43,75.2,0,60,3.24
338,Salinopolis,BR,1562544248,-0.61,-47.36,81.53,96,77,13.85
339,Flin Flon,CA,1562544249,54.77,-101.88,64.4,90,93,4.7
340,Boguchany,RU,1562544251,58.38,97.46,67.81,27,60,3.76
341,Husavik,CA,1562544252,50.56,-96.99,82.99,48,24,7.0
342,Netrakona,BD,1562544253,24.88,90.72,80.14,100,92,5.41
343,Karczew,PL,1562544255,52.08,21.25,59.0,20,87,8.05
344,Ilulissat,GL,1562544256,69.22,-51.1,55.4,75,43,2.24
345,Zharkent,KZ,1562544257,44.17,80.0,54.76,0,63,3.18
346,Gravdal,NO,1562544258,59.79,5.78,52.0,43,76,18.34
347,Atambua,ID,1562544171,-9.11,124.89,75.84,36,74,10.69
348,Madruga,CU,1562544261,22.91,-81.86,87.8,20,62,6.93
349,Clyde River,CA,1562544262,70.47,-68.59,35.6,90,100,10.29
350,Nuuk,GL,1562544263,64.17,-51.74,60.8,60,55,9.17
351,Cherskiy,RU,1562544265,68.75,161.3,72.17,65,38,8.1
352,Oranjemund,ZA,1562544121,-28.55,16.43,56.22,11,90,14.12
353,Paamiut,GL,1562544267,61.99,-49.67,47.83,61,72,7.2
354,Fez,MA,1562544268,34.03,-5.02,82.4,40,72,8.05
355,Borovskoy,KZ,1562544270,53.8,64.15,58.05,71,88,6.93
356,Meulaboh,ID,1562544227,4.14,96.13,81.42,92,77,6.11
357,Fare,PF,1562544272,-16.7,-151.02,78.05,69,85,15.68
358,Mkushi,ZM,1562544273,-13.61,29.4,49.61,3,57,2.93
359,Basco,US,1562544274,40.33,-91.2,84.2,90,58,3.36
360,Durban,CA,1562544182,51.93,-101.44,73.32,97,82,11.12
361,Chanute,US,1562544277,37.68,-95.46,87.8,1,62,5.82
362,Horta,BR,1562544278,-10.93,-37.66,78.8,40,74,8.05
363,Wanxian,CN,1562544279,30.8,108.39,67.65,100,96,5.75
364,Berlevag,NO,1562544281,70.86,29.09,44.81,100,84,11.56
365,Richards Bay,ZA,1562544282,-28.77,32.06,67.68,97,61,8.21
366,Batagay-Alyta,RU,1562544283,67.8,130.41,53.21,100,68,4.79
367,Saint-Georges,CA,1562544284,46.12,-70.67,69.01,0,52,1.01
368,Cabedelo,BR,1562544286,-6.97,-34.84,75.2,40,94,4.7
369,Ucluelet,CA,1562544287,48.94,-125.55,66.0,75,82,8.05
370,Shimoda,JP,1562544113,34.7,138.93,79.0,75,82,18.34
371,Kuching,MY,1562544289,1.56,110.34,75.2,75,100,2.24
372,Opuwo,NA,1562544291,-18.06,13.84,48.51,0,51,2.91
373,Sibu,MY,1562544292,2.29,111.83,73.4,75,100,4.07
374,Galle,GN,1562544293,10.08,-12.83,71.23,100,98,2.89
375,Marsa Matruh,EG,1562544294,31.35,27.25,77.0,0,83,9.17
376,Okha,RU,1562544110,53.59,142.95,49.07,100,88,7.34
377,San Quintin,PH,1562544297,17.54,120.52,80.12,97,78,2.86
378,San Matias,BO,1562544298,-16.36,-58.4,62.63,0,37,4.99
379,Klaksvik,FO,1562544148,62.23,-6.59,48.2,59,93,10.29
380,San Pedro,AR,1562544301,-33.68,-59.66,46.99,100,69,1.99
381,Masuda,JP,1562544302,34.68,131.85,75.0,75,94,1.12
382,Bathsheba,BB,1562544303,13.22,-59.52,80.6,40,83,14.99
383,Chiang Mai,TH,1562544305,18.79,98.99,82.99,75,78,4.7
384,Malinovoye Ozero,RU,1562544306,51.68,79.77,62.73,0,61,1.23
385,Cooma,AU,1562544307,-36.24,149.13,44.6,90,100,9.17
386,Hamilton,CA,1562544073,43.26,-79.87,73.99,20,49,12.75
387,Puri,ID,1562544310,-7.54,112.45,75.2,20,88,3.36
388,San Francisco,CO,1562544058,1.17,-76.88,66.2,40,88,3.36
389,Corvallis,US,1562544287,44.56,-123.26,80.6,75,41,6.93
390,Makokou,GA,1562544313,0.56,12.85,66.46,96,98,2.01
391,Port Hardy,CA,1562544314,50.7,-127.42,64.4,75,68,10.29
392,Grindavik,IS,1562544316,63.84,-22.43,50.0,0,76,13.87
393,Poplar Bluff,US,1562544317,36.76,-90.39,91.4,1,46,5.55
394,Adrar,DZ,1562544318,27.87,-0.29,95.0,0,9,10.29
395,Yaan,NG,1562544319,7.38,8.57,73.19,75,90,11.16
396,Ankazoabo,MG,1562544321,-22.29,44.51,55.46,0,92,2.84
397,Alice Springs,AU,1562544322,-23.7,133.88,55.4,0,58,5.82
398,Aklavik,CA,1562544323,68.22,-135.01,55.4,75,54,5.82
399,Pontes e Lacerda,BR,1562544325,-15.23,-59.33,61.02,0,47,4.27
400,Port Macquarie,AU,1562544326,-31.43,152.91,55.0,90,93,6.93
401,Korop,UA,1562544327,51.57,32.95,58.14,88,93,2.51
402,Koslan,RU,1562544328,63.46,48.9,47.29,82,90,5.93
403,Tautira,PF,1562544330,-17.73,-149.15,84.2,20,66,5.82
404,Nelson Bay,AU,1562544331,-32.72,152.14,57.0,0,93,6.93
405,Kimbe,PG,1562544332,-5.56,150.15,85.4,0,57,7.65
406,Viedma,AR,1562544333,-40.81,-62.99,49.13,100,61,13.53
407,Benguela,AO,1562544335,-12.58,13.4,70.04,38,89,12.03
408,Gejiu,CN,1562544336,23.36,103.16,64.88,100,92,6.38
409,Turukhansk,RU,1562544337,65.8,87.96,58.18,100,92,7.74
410,Kostomuksha,RU,1562544338,64.59,30.6,43.42,87,87,10.16
411,Ballina,IE,1562544340,54.11,-9.15,57.0,73,90,4.25
412,Urucui,BR,1562544341,-7.23,-44.56,75.62,10,72,3.33
413,Masterton,NZ,1562544342,-40.95,175.66,60.01,32,57,5.99
414,Nemuro,JP,1562544344,43.32,145.57,59.0,75,93,3.36
415,San Cristobal,HN,1562544059,14.68,-86.92,67.9,98,95,6.29
416,Puerto Ayacucho,CO,1562544346,5.66,-67.63,82.4,75,78,4.59
417,Alugan,PH,1562544347,12.22,125.48,83.88,24,72,3.2
418,Camargo,MX,1562544349,27.69,-105.17,88.73,55,27,1.9
419,Krivosheino,RU,1562544350,57.34,83.93,60.07,0,79,10.6
420,Mount Isa,AU,1562544351,-20.73,139.49,68.0,39,68,9.17
421,Pearl Lagoon,NI,1562544352,12.34,-83.67,80.6,75,94,9.17
422,Tilichiki,RU,1562544354,60.47,166.1,61.6,88,58,2.3
423,Xining,CN,1562544355,36.62,101.77,47.49,95,88,4.36
424,Bilma,NE,1562544356,18.69,12.92,93.37,0,8,6.17
425,Roald,NO,1562544357,62.58,6.12,53.6,0,76,8.05
426,Zalantun,CN,1562544359,48.0,122.72,70.73,70,63,3.15
427,Voh,NC,1562544105,-20.95,164.69,69.03,1,66,14.34
428,Palimbang,PH,1562544361,14.9,120.78,87.01,75,83,3.36
429,Denpasar,ID,1562544362,-8.65,115.22,73.4,20,88,4.7
430,Goure,NE,1562544364,13.98,10.27,88.69,100,40,19.57
431,Rio Grande,BR,1562544190,-32.03,-52.1,40.59,18,82,3.67
432,Yagodnoye,RU,1562544366,62.52,149.63,56.78,26,52,1.19
433,Clearwater,US,1562544367,27.97,-82.8,87.01,75,83,5.82
434,Sudogda,RU,1562544369,55.95,40.86,47.85,1,96,3.8
435,Sao Joao da Barra,BR,1562544370,-21.64,-41.05,64.4,0,68,13.87
436,Juarez,AR,1562544247,-38.95,-67.92,42.8,0,87,1.12
437,Edd,ER,1562544372,13.93,41.69,92.25,70,24,3.2
438,Lazaro Cardenas,MX,1562544374,28.39,-105.62,87.8,75,25,8.05
439,Tezu,IN,1562544375,27.93,96.16,71.9,100,97,3.0
440,Copiapo,CL,1562544376,-27.37,-70.33,55.4,40,82,10.29
441,Moron,HT,1562544377,18.56,-74.26,82.14,91,76,5.3
442,Baymak,RU,1562544379,52.6,58.31,47.49,17,97,5.77
443,Cam Ranh,VN,1562544380,11.92,109.15,86.0,20,70,2.24
444,Birjand,IR,1562544381,32.86,59.22,77.0,0,15,6.93
445,Sechura,PE,1562544383,-5.56,-80.82,64.75,45,88,11.81
446,Yashkul,RU,1562544384,46.17,45.34,74.13,54,43,5.03
447,Beringovskiy,RU,1562544385,63.05,179.32,60.39,74,65,5.64
448,Iquique,CL,1562544348,-20.22,-70.14,60.8,75,77,14.99
449,Bubaque,GW,1562544388,11.28,-15.83,80.43,61,83,12.12
450,Bud,NO,1562544111,62.91,6.91,53.6,0,76,8.05
451,Bollnas,SE,1562544390,61.35,16.39,49.76,56,83,7.4
452,Sarangani,PH,1562544392,5.4,125.46,82.55,7,65,1.41
453,Palu,ID,1562544393,-0.9,119.87,79.82,35,75,1.86
454,Bandarbeyla,SO,1562544394,9.49,50.81,81.36,77,58,25.72
455,Pinotepa de Don Luis,MX,1562544395,16.43,-97.98,86.35,4,56,5.75
456,Zhengjiatun,CN,1562544397,43.51,123.51,79.15,82,58,11.1
457,Kirakira,SB,1562544398,-10.46,161.92,82.37,11,79,12.59
458,Khomutovka,RU,1562544399,51.92,34.56,56.38,78,95,3.15
459,Ishinomaki,JP,1562544400,38.42,141.3,64.4,75,72,3.36
460,Kahta,TR,1562544402,37.78,38.62,77.0,75,33,9.17
461,Honiara,SB,1562544403,-9.43,159.96,86.0,75,74,9.17
462,Chenghai,CN,1562544404,23.46,116.77,82.4,40,94,6.2
463,Koumac,NC,1562544406,-20.56,164.28,69.92,74,72,11.52
464,Plettenberg Bay,ZA,1562544407,-34.05,23.37,50.96,57,85,5.53
465,Yamada,JP,1562544408,36.58,137.08,75.99,75,83,2.24
466,Orange,AU,1562544309,-33.28,149.1,48.99,99,95,5.01
467,Novo Aripuana,BR,1562544411,-5.12,-60.38,73.25,100,95,2.1
468,Fortuna,ES,1562544412,38.18,-1.13,81.0,0,69,11.41
469,Tazovskiy,RU,1562544414,67.47,78.7,45.63,93,73,16.69
470,Ordzhonikidze,UA,1562544415,44.96,35.36,63.92,0,73,3.47
471,Igrim,RU,1562544416,63.19,64.42,49.95,85,77,4.88
472,Sao Caetano de Odivelas,BR,1562544120,-0.75,-48.02,81.62,100,79,13.94
473,Ambunti,PG,1562544419,-4.22,142.82,79.8,99,80,2.53
474,Kailua,US,1562544208,21.39,-157.74,89.6,40,74,12.75
475,Dengzhou,CN,1562544421,32.69,112.08,75.89,100,58,14.18
476,Maravilha,BR,1562544422,-26.76,-53.17,48.2,0,76,5.82
477,Pacifica,US,1562544212,37.61,-122.49,66.99,90,87,6.93
478,Ornskoldsvik,SE,1562544425,63.29,18.72,55.4,100,93,3.36
479,Yibin,CN,1562544426,28.77,104.64,67.54,100,98,4.65
480,Sorland,NO,1562544427,67.67,12.69,51.8,40,87,12.75
481,Zaysan,KZ,1562544429,47.47,84.87,68.49,1,53,5.68
482,Amga,RU,1562544430,60.89,131.98,71.36,27,52,7.78
483,Non Sung,TH,1562544431,15.18,102.26,84.0,20,88,4.7
484,Shingu,JP,1562544432,33.72,135.99,77.0,40,78,4.7
485,Avera,US,1562544434,33.19,-82.53,93.99,40,59,9.17
486,Ketchikan,US,1562544435,55.34,-131.65,57.62,100,92,11.95
487,Kolondieba,ML,1562544436,11.09,-6.89,72.71,100,89,5.46
488,Khasan,RU,1562544437,42.43,130.64,71.46,7,68,1.99
489,Tevaitoa,PF,1562544439,-16.78,-151.5,78.05,69,85,15.68
490,Novoagansk,RU,1562544440,61.94,76.66,55.84,100,90,10.8
491,Talcahuano,CL,1562544441,-36.72,-73.12,55.4,90,82,9.17
492,Shenjiamen,CN,1562544443,29.96,122.3,77.12,83,76,7.34
493,Henties Bay,NA,1562544163,-22.12,14.28,51.01,0,95,5.99
494,Santa Vitoria,BR,1562544445,-7.82,-67.03,69.27,59,66,3.11
495,Coquimbo,CL,1562544446,-29.95,-71.34,57.0,0,87,4.7
496,Elat,CM,1562544448,2.91,11.16,67.2,100,99,3.04
497,Khanpur,PK,1562544449,28.65,70.66,88.73,0,57,16.06
498,Los Llanos de Aridane,ES,1562544219,28.66,-17.92,69.8,0,64,9.17
499,Leh,IN,1562544451,34.16,77.58,36.69,0,56,3.49
500,Santa Cruz,BR,1562544453,-6.22,-36.02,71.0,18,88,9.84
501,Warmbad,DE,1562544454,50.67,13.08,57.0,14,58,4.7
502,Eureka,US,1562544455,40.8,-124.16,66.99,40,68,16.11
503,Murgab,TM,1562544456,37.5,61.97,82.4,0,45,10.11
504,Xuddur,SO,1562544458,4.12,43.89,72.31,100,80,13.96
505,Raisen,IN,1562544459,23.33,77.78,74.9,100,93,14.94
506,Brooks,CA,1562544460,50.57,-111.89,75.0,75,47,8.19
507,Itacoatiara,BR,1562544462,-3.14,-58.44,74.56,87,93,2.28
508,Lorengau,PG,1562544463,-2.02,147.27,82.41,63,76,13.04
509,Kokstad,ZA,1562544464,-30.55,29.42,39.17,0,85,4.0
510,Ranot,TH,1562544466,7.78,100.32,77.49,61,86,6.78
511,Panjab,AF,1562544467,34.38,67.02,44.21,0,46,6.11
512,Kenai,US,1562544468,60.55,-151.26,82.99,1,56,6.93
513,Golkoy,TR,1562544469,40.69,37.62,73.4,75,73,6.89
514,Katobu,ID,1562544471,-4.94,122.53,77.49,55,80,1.74
515,Beyla,GN,1562544472,8.69,-8.65,68.48,97,99,2.08
516,Homer,US,1562544473,59.64,-151.54,82.99,1,72,10.29
517,Pleven,BG,1562544474,43.41,24.62,68.0,75,82,11.41
518,Nasice,HR,1562544476,45.49,18.09,64.99,0,93,4.7
519,Canico,PT,1562544477,32.63,-16.85,69.8,40,68,9.17
520,Jalu,LY,1562544478,29.03,21.55,78.12,0,51,9.98
521,Ofunato,JP,1562544480,39.11,141.75,64.4,75,72,2.24
522,Port Blair,IN,1562544226,11.67,92.75,84.06,100,80,18.79
523,Petauke,ZM,1562544482,-14.25,31.33,57.42,0,52,2.95
524,Buin,CL,1562544483,-33.73,-70.74,51.8,100,81,5.82
525,Kondagaon,IN,1562544485,19.59,81.66,72.26,98,94,6.04
526,Matara,BI,1562544403,-3.48,29.48,51.18,94,92,1.5
527,Sambava,MG,1562544487,-14.27,50.17,70.06,89,84,1.43
528,Bernay,FR,1562544488,49.09,0.6,61.0,0,82,5.82
529,Yulara,AU,1562544490,-25.24,130.99,48.2,0,61,4.7
530,Half Moon Bay,US,1562544491,37.46,-122.43,68.0,90,87,6.93
531,Antalaha,MG,1562544492,-14.9,50.28,65.54,72,93,3.04
532,Lalitpur,IN,1562544493,24.69,78.42,79.96,100,81,16.31
533,Pacific Grove,US,1562544317,36.62,-121.92,79.0,40,67,12.75
534,Hervey Bay,AU,1562544496,-25.3,152.85,64.4,0,72,8.05
535,Launceston,AU,1562544497,-41.43,147.14,45.0,90,100,3.36
536,Russell,US,1562544498,38.9,-98.86,87.8,1,45,13.87
537,Abasolo,MX,1562544500,20.45,-101.53,84.2,75,26,10.29
538,Lafiagi,NG,1562544501,8.85,5.42,75.33,62,91,6.08
539,High Level,CA,1562544327,58.52,-117.13,68.0,75,34,10.29
540,Acari,BR,1562544503,-6.44,-36.64,77.24,83,71,13.53
541,Usinsk,RU,1562544505,66.0,57.56,49.56,0,66,16.55
542,Maragogi,BR,1562544506,-9.01,-35.22,70.8,2,92,2.39
543,Oistins,BB,1562544507,13.07,-59.53,80.6,40,83,14.99
544,Winona,CA,1562544509,43.21,-79.65,73.99,20,49,12.75
545,The Valley,AI,1562544510,18.22,-63.06,82.4,40,69,13.87
546,Simbahan,PH,1562544511,6.3,120.58,83.0,49,76,9.19
547,Kensington,CA,1562544512,46.44,-63.64,69.8,20,56,5.82
548,Kremenki,RU,1562544514,54.51,48.87,57.2,60,82,6.71
549,Chapais,CA,1562544515,49.78,-74.86,71.6,1,30,8.05
550,Port Moresby,PG,1562544516,-9.47,147.16,82.4,40,74,11.41
551,Todos Santos,MX,1562544518,23.45,-110.23,97.0,90,35,10.29
552,Tessalit,ML,1562544519,20.2,1.01,88.37,40,24,5.06
553,Mahdasht,IR,1562544520,35.73,50.81,75.2,40,41,11.41
554,Crotone,IT,1562544522,39.09,17.12,78.41,0,38,4.92
555,Ancud,CL,1562544523,-41.87,-73.83,50.0,90,93,21.92
556,Dudinka,RU,1562544524,69.41,86.18,48.2,40,87,29.08
557,Betafo,MG,1562544525,-19.84,46.86,54.49,0,81,3.42
558,Ixtapa,MX,1562544527,20.71,-105.21,87.01,75,58,16.11
559,Marovoay,MG,1562544528,-16.11,46.64,75.2,0,83,4.7
560,Bihariganj,IN,1562544529,25.73,86.98,81.36,100,86,15.37
561,Nirsa,IN,1562544531,23.78,86.71,81.0,100,52,7.2
562,Dong Xoai,VN,1562544532,11.53,106.92,77.73,83,95,3.8
563,Antofagasta,CL,1562544308,-23.65,-70.4,57.2,75,76,11.41
564,Balikpapan,ID,1562544534,-1.24,116.86,77.0,40,94,9.17
565,Okhotsk,RU,1562544535,59.36,143.24,57.3,1,69,6.49
566,Pontivy,FR,1562544537,48.06,-2.97,63.0,85,87,12.75
567,Oxford,US,1562544538,33.61,-85.83,82.99,90,83,5.79
568,Aden,YE,1562544368,12.79,45.03,87.11,96,70,4.59
569,Guerrero Negro,MX,1562544541,27.97,-114.04,64.61,0,85,11.81
570,Juneau,US,1562544542,58.3,-134.42,80.6,1,42,6.93
571,Sirari,KE,1562544543,-1.25,34.48,63.42,79,90,4.05
572,Esil,KZ,1562544545,51.96,66.41,62.91,19,51,11.16
573,Namibe,AO,1562544546,-15.19,12.15,68.28,52,89,10.22
574,Tyukhtet,RU,1562544547,56.54,89.31,59.33,0,83,6.11
575,Toro,ES,1562544549,41.52,-5.39,66.99,24,82,6.93
576,Skjervoy,NO,1562544307,70.03,20.97,51.23,100,71,17.2
577,Gobabis,NA,1562544551,-22.45,18.97,50.0,0,18,4.85
578,Korem,ET,1562544552,12.51,39.52,62.46,66,66,3.24
579,Kaduna,NG,1562544554,10.52,7.44,71.32,98,94,3.2
580,Pirovskoye,RU,1562544555,57.63,92.27,58.94,27,89,8.52
581,Broome,GB,1562544556,52.47,1.45,57.99,79,87,3.36
582,Mortka,RU,1562544557,59.33,66.02,53.01,80,93,4.18
583,Frolovo,RU,1562544559,49.76,43.65,62.88,28,51,8.97
584,Itarema,BR,1562544560,-2.92,-39.92,74.51,15,87,5.12
585,Radhanpur,IN,1562544561,23.83,71.61,84.35,89,70,13.76
586,Srednekolymsk,RU,1562544562,67.46,153.71,70.37,61,41,7.16
587,Udhampur,IN,1562544564,32.92,75.13,86.0,40,74,2.24
588,Soligalich,RU,1562544565,59.08,42.29,51.02,100,98,3.76
589,Gryfino,PL,1562544566,53.25,14.49,53.6,0,76,10.29
590,Vung Tau,VN,1562544567,10.35,107.08,80.27,100,88,7.65
591,Pervomayskiy,RU,1562544569,53.24,40.29,51.12,66,95,4.34
592,Araouane,ML,1562544570,18.9,-3.53,99.04,70,22,13.33
593,Mount Barker,AU,1562544571,-35.06,138.86,54.0,75,93,8.05
594,Ola,RU,1562544573,59.58,151.3,49.05,98,86,11.9
